X2C_Neg1_1	X2C_Neg1_2	X2C_Neg2_1	X2C_Neg2_2	X2C_Pos1_1	X2C_Pos1_2	X2C_Pos2_1	X2C_Pos2_2	Neg_mean	Pos_mean	FC
0610005C13Rik	1	1	1	1	6.55169001704524	5.99573363068348	7.42949096685744	6.44543096790378	1	6.60558639562249	2.7236866390656
0610007C21Rik	18.9468347907257	17.9776859452286	20.3638787633232	12.5932475966892	8.47865766911737	12.4197339492729	14.5618022950406	18.9970596948743	17.4704117739917	13.6143134020763	-0.359789386551296
0610007L01Rik	46.3321758327831	58.6726295848823	61.0916362899695	55.7114323027445	32.3730565548118	53.1050693003394	66.2710594243684	60.3835111729933	55.4519685025949	53.0331741131282	-0.0643435773962793
0610007N19Rik	1	1.79776859452286	1.05330407396499	1	1	1.71306675162385	1.48589819337149	1	1.21276816712196	1.29974123624883	0.0999206365141908
0610007P08Rik	30.4104659246102	24.3515927803551	33.0035276509031	24.7758458152254	14.2595606253338	19.2720009557683	32.3925806154984	28.4955895423115	28.1353580427734	23.604932934728	-0.253295938822203
0610007P14Rik	36.1422814915525	41.6755446912117	40.9033082056405	45.9927303531257	19.2696765207213	39.8288019752545	21.6941136232237	32.2271548395189	41.1784661853826	28.2549367396796	-0.543387134372404
0610007P22Rik	13.6926705210287	13.8918482304039	14.2196049985274	14.2358451093008	15.415741216577	15.4176007646147	22.8828321779209	15.6047276065039	14.0099922148152	17.3302254414041	0.306834267935093
0610009B22Rik	58.2734582639128	44.6173478458854	54.7718118461795	52.8368866556741	27.3629406594243	40.2570686631605	24.6659100099667	27.4778899158003	52.624876152913	29.940952312088	-0.813624823978592
0610009D07Rik	107.312324781085	117.181825661172	106.032610112476	107.179487697909	107.910188516039	135.76054006619	112.03672378021	110.590026080875	109.42656206316	116.574369610829	0.0912876495789652
0610009O20Rik	28.4998607356295	20.1023215569374	25.1037470961656	26.82909270599	13.1033800340905	16.2741341404266	20.2082154298522	8.48083022092603	25.1337555236806	14.5166399563238	-0.791918693421929
0610010B08Rik	1	1.79776859452286	1	1	1	1	1	1	1.19944214863071	1	-0.262363575391825
0610010F05Rik	11.3044140348028	11.1134785843231	14.921807714504	11.9088319664343	6.55169001704524	15.8458674525206	13.0759041016691	5.42773134139266	12.3121330750161	10.2252982281569	-0.267937809137089
0610010K14Rik	35.5054130952255	38.7337415365379	44.7654231435121	43.1181847060553	25.0505794769377	26.5525346501697	19.6138561525036	25.1032574539411	40.5306906203327	24.080056933388	-0.751175955191961
0610010O12Rik	3.50277617979804	7.02764086949844	5.09096969083079	6.70727317649749	5.78090295621639	7.70880038230733	7.42949096685744	5.42773134139266	5.58216497915619	6.58673141169346	0.2387379588548
0610011F06Rik	5.25416426969705	7.19107437809143	5.61762172781329	4.51714315968199	1.92696765207213	4.28266687905963	4.45769458011446	3.73156529720745	5.64500088382094	3.59972360211342	-0.649087670646472
0610011L14Rik	37.575235383288	19.7754545397514	37.5678453047514	39.5592234287301	48.5595848322177	47.9658690454678	53.4923349613736	41.047218269282	33.6194396641302	47.7662517770853	0.506695993468139
0610012G03Rik	32.0026369154275	29.0911645295517	25.1037470961656	32.3044177480287	17.3427088686492	21.4133343952981	22.2884729005723	26.4601902892892	29.6254915722934	21.8761766134522	-0.437478478076714
0610030E20Rik	5.57259846786051	3.7589706976387	7.89978055473743	4.65402628573295	6.55169001704524	4.28266687905963	3.86333530276587	3.73156529720745	5.4713440014924	4.60731437401955	-0.24796922388665
0610031J06Rik	47.9243468236004	43.4733132857345	54.5962611671854	58.1753285716619	55.8820619100918	39.8288019752545	65.6767001470198	67.1681753497342	51.0423124620456	57.1389348455251	0.16278045094823
0610037L13Rik	24.0417819613411	24.0247257631691	25.2792977751598	24.3651964370725	11.9471994428472	12.8480006371789	10.995646630949	18.6578264860373	24.4277504841856	13.6121682992531	-0.8436241202076
0610037P05Rik	27.3853410420574	28.4374304951797	23.348240306224	27.2397420841429	26.9775471290098	35.9744017841009	28.5292453127326	24.764024245104	26.602688481901	29.0613046177368	0.1275274171483
0610039K10Rik	1	1	1	1	1.92696765207213	5.99573363068348	1	5.7669645502297	1	3.67241645824633	1.87672967209004
0610040F04Rik	3.18434198163458	3.43210368045273	1.22885475295916	2.19013001681551	1	2.14133343952981	2.08025747072008	1	2.50885760796549	1.55539772756247	-0.689747055746444
0610040J01Rik	1	1	1	1	136.814703297121	103.640538473243	101.63543642661	104.483828321809	1	111.643626629696	6.80275708453405
0910001L09Rik	25.9523871503218	34.6479038217132	27.0348045651014	25.5971445715313	23.8943988856944	20.5568010194862	21.991293261898	19.3362929037113	28.3080600271669	21.4446965176975	-0.400591984343047
1110001A16Rik	34.8685446988986	34.1576032959343	25.8059498121423	30.7987033614681	16.5719218078203	15.4176007646147	21.0997543458751	19.3362929037113	31.4077002921108	18.1063924555054	-0.794619180849682
1110001J03Rik	12.2597166292931	16.3433508592987	18.081719936399	18.4792220168809	11.1764123820184	11.563200573461	9.21256879890323	12.2123955181335	16.2910023604679	11.041144318129	-0.561185670815083
1110002B05Rik	26.9076897448122	26.6396619006569	28.4392099970548	33.6732490085384	38.5393530414426	50.5354691729036	34.4728380862185	51.5634477432303	28.9149526627656	43.7777770109488	0.598382957596807
1110002L01Rik	4.45807877428841	1.96120210311584	3.86211493787163	5.74909129414071	3.46854177372983	1.71306675162385	1.18871855469719	4.74926492371858	4.00762177735415	2.77989800094236	-0.527714410358978
