GeneName	X2C_Neg1_1	X2C_Neg1_2	X2C_Neg2_1	X2C_Neg2_2	X2C_Pos1_1	X2C_Pos1_2	X2C_Pos2_1	X2C_Pos2_2	Pos_mean	FC	GeneSymbol	Neg_mean	logFC	logCPM	PValue	FDR
1	0610005C13Rik	1	1	1	1	6.55169001704524	5.99573363068348	7.42949096685744	6.44543096790378	6.60558639562248	2.7236866390656	0610005C13Rik	1	6.61685310724799	1.55185400872568	2.99447509017322e-22	3.80208502199294e-18
2	0610007C21Rik	18.9468347907257	17.9776859452286	20.3638787633232	12.5932475966892	8.47865766911737	12.4197339492729	14.5618022950406	18.9970596948743	13.6143134020763	-0.359789386551298	0610007C21Rik	17.4704117739917	-0.376155243241019	4.01902144418588	0.141718954200302	1
3	0610007L01Rik	46.3321758327831	58.6726295848823	61.0916362899695	55.7114323027445	32.3730565548118	53.1050693003394	66.2710594243684	60.3835111729933	53.0331741131282	-0.0643435773962793	0610007L01Rik	55.4519685025949	-0.0908145688217767	5.77595453706389	0.691495027027959	1
4	0610007N19Rik	1	1.79776859452286	1.05330407396499	1	1	1.71306675162385	1.48589819337149	1	1.29974123624883	0.0999206365141903	0610007N19Rik	1.21276816712196	0.314640288823827	0.441025467290205	0.871217003626086	1
5	0610007P08Rik	30.4104659246102	24.3515927803551	33.0035276509031	24.7758458152254	14.2595606253338	19.2720009557683	32.3925806154984	28.4955895423115	23.604932934728	-0.253295938822203	0610007P08Rik	28.1353580427735	-0.269544967167209	4.73153782517058	0.253913612557193	1
6	0610007P14Rik	36.1422814915525	41.6755446912117	40.9033082056405	45.9927303531257	19.2696765207213	39.8288019752545	21.6941136232237	32.2271548395189	28.2549367396796	-0.543387134372406	0610007P14Rik	41.1784661853826	-0.581495753788435	5.15057395870174	0.0151229133553308	1
7	0610007P22Rik	13.6926705210287	13.8918482304039	14.2196049985274	14.2358451093008	15.415741216577	15.4176007646147	22.8828321779209	15.6047276065039	17.3302254414041	0.30683426793509	0610007P22Rik	14.0099922148152	0.284501606426957	3.99858896004294	0.281628442423576	1
8	0610009B22Rik	58.2734582639128	44.6173478458854	54.7718118461795	52.8368866556741	27.3629406594243	40.2570686631605	24.6659100099667	27.4778899158003	29.940952312088	-0.813624823978591	0610009B22Rik	52.6248761529129	-0.851586691164278	5.4025021688554	0.000326613337488101	1
9	0610009D07Rik	107.312324781085	117.181825661172	106.032610112476	107.179487697909	107.910188516039	135.76054006619	112.03672378021	110.590026080875	116.574369610828	0.0912876495789599	0610009D07Rik	109.426562063161	0.0592359163360941	6.82325190632073	0.790638083824067	1
10	0610009O20Rik	28.4998607356295	20.1023215569374	25.1037470961656	26.82909270599	13.1033800340905	16.2741341404266	20.2082154298522	8.48083022092603	14.5166399563238	-0.79191869342193	0610009O20Rik	25.1337555236806	-0.817856154508673	4.37748263627437	0.00114154907424772	1
11	0610010B08Rik	1	1.79776859452286	1	1	1	1	1	1	1	-0.262363575391826	0610010B08Rik	1.19944214863071	-1.48657783856027	0.309804604387422	0.0582652209379604	1
12	0610010F05Rik	11.3044140348028	11.1134785843231	14.921807714504	11.9088319664343	6.55169001704524	15.8458674525206	13.0759041016691	5.42773134139266	10.2252982281569	-0.267937809137089	0610010F05Rik	12.312133075016	-0.303311734789397	3.56394445371303	0.272408374003016	1
13	0610010K14Rik	35.5054130952255	38.7337415365379	44.7654231435121	43.1181847060553	25.0505794769377	26.5525346501697	19.6138561525036	25.1032574539411	24.080056933388	-0.75117595519196	0610010K14Rik	40.5306906203327	-0.786961913642238	5.05566524959326	0.00106976973597192	1
14	0610010O12Rik	3.50277617979804	7.02764086949844	5.09096969083079	6.70727317649749	5.78090295621639	7.70880038230733	7.42949096685744	5.42773134139266	6.58673141169345	0.2387379588548	0610010O12Rik	5.58216497915619	0.201024396651874	2.68769570216248	0.502615707509653	1
15	0610011F06Rik	5.25416426969705	7.19107437809143	5.61762172781329	4.51714315968199	1.92696765207213	4.28266687905963	4.45769458011446	3.73156529720745	3.59972360211342	-0.649087670646473	0610011F06Rik	5.64500088382094	-0.658728642139628	2.39967732232243	0.0491276702605162	1
16	0610011L14Rik	37.575235383288	19.7754545397514	37.5678453047514	39.5592234287301	48.5595848322177	47.9658690454678	53.4923349613736	41.047218269282	47.7662517770853	0.506695993468138	0610011L14Rik	33.6194396641302	0.474690870184644	5.34825057059743	0.0416808175699607	1
17	0610012G03Rik	32.0026369154275	29.0911645295517	25.1037470961656	32.3044177480287	17.3427088686492	21.4133343952981	22.2884729005723	26.4601902892892	21.8761766134522	-0.437478478076714	0610012G03Rik	29.6254915722934	-0.465878290666728	4.72939228578766	0.0555460645836306	1
18	0610030E20Rik	5.57259846786051	3.7589706976387	7.89978055473743	4.65402628573295	6.55169001704524	4.28266687905963	3.86333530276587	3.73156529720745	4.60731437401955	-0.247969223886649	0610030E20Rik	5.4713440014924	-0.283643353511617	2.46912149288172	0.411300673823096	1
19	0610031J06Rik	47.9243468236004	43.4733132857345	54.5962611671854	58.1753285716619	55.8820619100918	39.8288019752545	65.6767001470198	67.1681753497342	57.1389348455251	0.16278045094823	0610031J06Rik	51.0423124620456	0.135056242654525	5.76709087176899	0.566158399460542	1
20	0610037L13Rik	24.0417819613411	24.0247257631691	25.2792977751598	24.3651964370725	11.9471994428472	12.8480006371789	10.995646630949	18.6578264860373	13.6121682992531	-0.8436241202076	0610037L13Rik	24.4277504841856	-0.873028662615129	4.32029939896039	0.000592055830023878	1
