N1	N2	P1	P2	N	P	FC
1110002N22Rik	50.6924377181767	49.9127739195584	73.5006062731147	77.9746456905702	50.3026058188675	75.7376259818424	0.590377062534319
1110003E01Rik	29.3601218456699	26.989539344148	27.7343508104032	31.2277100459808	28.174830594909	29.481030428192	0.0653800147256502
1110004E09Rik	47.4452353020657	46.5614238354341	28.6496759196574	30.6599334996902	47.0033295687499	29.6548047096738	-0.66449708539224
1110004F10Rik	169.531026141126	172.616871666297	221.874806483225	234.113195920474	171.073948903712	227.99400120185	0.414375782507761
1110005A03Rik	25.5266189933167	23.8616125989653	23.5238553078337	20.1560673933149	24.694115796141	21.8399613505743	-0.177197008959206
1110007C09Rik	13.8457103020287	13.0479229941907	8.97018607069146	5.77239488728736	13.4468166481097	7.37129047898941	-0.86727555802037
1110008F13Rik	49.6100369128063	52.0129533056097	25.0799079935659	21.8593970321865	50.811495109208	23.4696525128762	-1.11435843376508
1110008J03Rik	20.97151560405	20.5549471826293	7.139535852183	7.00257740425024	20.7632313933396	7.07105662821662	-1.5540332703852
1110008L16Rik	50.2414373826057	48.750972557062	57.5739493720911	69.8365151937388	49.4962049698338	63.705232282915	0.364093956337995
1110008P14Rik	31.0739231208396	33.8709781835499	26.6359606792981	26.8747565244198	32.4724506521948	26.755358601859	-0.279388401488792
1110012J17Rik	38.3350285235322	35.0774642138347	26.7274931902235	28.388827314528	36.7062463686834	27.5581602523757	-0.413546011221826
1110012L19Rik	31.9759237919815	31.1898981162505	66.3610704209317	64.631896852742	31.582910954116	65.4964836368369	1.05227330500943
1110014N23Rik	17.0027126510254	16.2205344071618	7.23106836310842	6.43480085795968	16.6116235290936	6.83293461053405	-1.28161585553951
1110018G07Rik	21.3323158725067	17.6504437763882	16.8419820102778	17.5064435106256	19.4913798244474	17.1742127604517	-0.182592255155921
1110018J18Rik	7.53170560403515	8.26666354084003	8.42099100513892	6.71868913110496	7.89918457243759	7.56984006812194	-0.0614409125500108
1110019D14Rik	1	1	3.5697679260915	4.2583240971792	1	3.91404601163535	1.96866071569082
1110020G09Rik	27.4208204027148	26.5873773340531	32.7686389113014	39.5550993915757	27.0040988683839	36.1618691514386	0.421290844268514
1110021J02Rik	5.00610372483773	5.8536914802705	10.4347062454982	11.6394191989565	5.42989760255412	11.0370627222273	1.02335938388124
1110021L09Rik	3.47270258389644	4.60252078219742	3.29517039331523	3.59591812650688	4.03761168304693	3.44554425991105	-0.228770276503545
1110028C15Rik	3.42760255033935	3.12792674518271	5.21735312274911	6.6240597067232	3.27776464776103	5.92070641473615	0.853057048979411
1110031I02Rik	8.25330614094869	9.78594224564306	5.76654818830165	5.01535949223328	9.01962419329588	5.39095384026746	-0.742526767565777
1110032A03Rik	4.96100369128063	4.82594412113904	8.14639347236265	11.5447897745747	4.89347390620984	9.84559162346868	1.00861889388171
1110034A24Rik	37.1173276174906	38.8756609758423	39.0843821651556	36.6215872357411	37.9964942966664	37.8529847004484	-0.00545925516101775
1110034B05Rik	41.988131241657	34.1390861902799	80.914739658074	100.969595815338	38.0636087159684	90.9421677367059	1.25653704677227
1110034G24Rik	9.74160724833288	9.33909556775981	12.7230190186338	11.2609015014294	9.54035140804635	11.9919602600316	0.329953195120825
1110037F02Rik	32.2916240268812	34.9434102104697	29.9311310726133	33.8773339286701	33.6175171186755	31.9042325006417	-0.0754653472473521
1110038B12Rik	99.3102738927269	101.300141876132	149.289525319365	167.967228277624	100.305207884429	158.628376798494	0.66125436256766
1110038D17Rik	10.1024075167897	10.322158259103	5.67501567737623	3.97443582403392	10.2122828879463	4.82472575070507	-1.08178656366855
1110038F14Rik	86.9528646980824	87.8500568718459	54.8279740443284	51.4784068636774	87.4014607849641	53.1531904540029	-0.717501102094723
1110049F12Rik	45.1451335906538	47.2763785200473	21.5101400674744	19.6829202714061	46.2107560553505	20.5965301694402	-1.1658273819379
1110051M20Rik	8.43370627517708	9.16035689660652	8.78712104884061	8.13813049683136	8.7970315858918	8.46262577283598	-0.0559114216712775
1110054O05Rik	39.4625293624596	41.2886330364118	50.4344135199081	48.4502652834611	40.3755811994357	49.4423394016846	0.292263979765285
1110057K04Rik	36.2153269463486	39.7246696638204	33.6839640205557	33.4041868067613	37.9699983050845	33.5440754136585	-0.178801955795672
1110058L19Rik	22.5951168121054	21.8508025484907	46.7731130828912	52.9924776537856	22.222959680298	49.8827953683384	1.16649134485554
1110059E24Rik	50.376737483277	47.7232251979305	122.836629661918	128.885276007957	49.0499813406038	125.860952834937	1.35950627730639
1110059G10Rik	8.79450654363385	9.24972623218316	25.7206355700439	28.767345012055	9.02211638790851	27.2439902910494	1.59440022068274
1110065P20Rik	2.6609019798687	2.3682873927812	1.1899226420305	1	2.51459468632495	1.09496132101525	-1.19944597048336
1110067D22Rik	35.1780261745354	37.2223282676743	22.8831277313558	22.5218030028589	36.2001772211048	22.7024653671073	-0.673147785125301
1190002F15Rik	1	1	3.5697679260915	4.54221237032448	1	4.05599014820799	2.02005414811326
1190002H23Rik	15.9203118456551	14.1650396888989	13.5468116169626	9.93608956008479	15.042675767277	11.7414505885237	-0.357450558031796
1190002N15Rik	6.99050520134998	6.16648415478878	13.5468116169626	21.8593970321865	6.57849467806938	17.7031043245746	1.42817296340448
1190003J15Rik	26.9698200671438	27.5704400253962	35.2400167062879	31.8901160166531	27.27013004627	33.5650663614705	0.299638914549117
1190005F20Rik	24.2187180201609	25.8277379816515	25.8121680809693	23.0895795491494	25.0232280009062	24.4508738150594	-0.0333818848998453
1190005I06Rik	2.93150218121128	4.06630476873753	1.73911770758304	1	3.49890347497441	1.36955885379152	-1.35319160114455
1190007F08Rik	1.12750083892742	1.07243202691979	1	1.4194413657264	1.0999664329236	1.2097206828632	0.137214477970434
1190007I07Rik	7.66700570470644	6.43459216151872	19.5879573380405	18.2634789056797	7.05079893311258	18.9257181218601	1.42448939809524
1200009I06Rik	1	1.25117069807309	1.46452017480677	1.4194413657264	1.12558534903654	1.44198077026658	0.357376470199329
1200011I18Rik	27.8267207047286	24.2190899412719	28.7412084305828	31.0384511972173	26.0229053230003	29.8898298139	0.199872642152878
1200011M11Rik	73.0620543624966	75.74051190121	60.59452223263	57.7239488728736	74.4012831318533	59.1592355527518	-0.330724092151758
1200014J11Rik	58.8104437584541	53.7556553493543	33.6839640205557	35.0128870212512	56.2830495539042	34.3484255209034	-0.712456529820971
1200016B10Rik	46.8589348658234	45.7124151474559	137.939493964612	140.430065782532	46.2856750066397	139.184779873572	1.58836379155361
1300001I01Rik	54.6612406712012	53.8003400171427	40.0912397853353	32.5525219873254	54.2307903441719	36.3218808863303	-0.578273283088143
1300002E11Rik	11.0495082214887	9.51783423891311	14.919799280844	21.1023616371325	10.2836712302009	18.0110804589882	0.808529336110202
1300010F03Rik	11.2299083557171	13.0032383264024	7.9633284505118	6.52943028234144	12.1165733410597	7.24637936642662	-0.741649509738775
1300014I06Rik	1	1.16180136249644	1.46452017480677	1.79795906325344	1.08090068124822	1.6312396190301	0.593734753740473
1300017J02Rik	1.17260087248451	2.14486405383957	1.83065021850846	1.8925884876352	1.65873246316204	1.86161935307183	0.166476901061885
1300018I17Rik	4.32960322148128	4.06630476873753	1.46452017480677	1.70332963887168	4.1979539951094	1.58392490683922	-1.40618241686732
1300018J18Rik	1.3530010067129	1.78738671153298	1	1	1.57019385912294	1	-0.650942687989321
1500001M20Rik	32.4720241611096	30.9664747773089	22.1508676439524	22.1432853053318	31.7192494692092	22.1470764746421	-0.518242366498981
1500002O20Rik	5.27670392618031	4.91531345671569	1.64758519665761	1.23018251696288	5.096008691448	1.43888385681025	-1.82441759221224
1500003O03Rik	82.4428613423727	83.7837521031084	72.7683461857113	81.5705638170771	83.1133067227405	77.1694550013942	-0.10704955891711
1500004A13Rik	2.20990164429774	1.47459403701471	1	1	1.84224784065622	1	-0.881467162641581
1500009L16Rik	127.497794865912	118.861216316943	174.827095867558	167.020934033806	123.179505591428	170.924014950682	0.472592868264965
1500010J02Rik	110.720582382672	111.890408141964	50.3428810089827	47.31471219088	111.305495262318	48.8287965999313	-1.18872069383628
1500011B03Rik	20.9264155704929	22.1635952230089	38.8097846323794	44.3812000350454	21.5450053967509	41.5954923337124	0.949073733441227
1500011H22Rik	34.1407254027222	34.1837708580682	36.3384068373929	34.5397398993424	34.1622481303952	35.4390733683677	0.0529379638247542
1500011K16Rik	12.4025092282016	13.5394543398623	32.4025088675997	36.7162166601229	12.9709817840319	34.5593627638613	1.41378893358854
1500012F01Rik	89.7941668121795	90.8439296136636	151.486305581575	169.954446189641	90.3190482129216	160.720375885608	0.831450655193981
1500015A07Rik	1.03730077181322	1	1.64758519665761	1.79795906325344	1.01865038590661	1.72277212995553	0.758072905059323
1500015O10Rik	1.08240080537032	1.60864804037968	1.37298766388135	3.40665927774336	1.345524422875	2.38982347081235	0.828735476674661
1500031L02Rik	33.5544249664799	33.6922395123966	33.2263014659286	33.2149279579977	33.6233322394383	33.2206147119632	-0.017383940835944
1500032L24Rik	89.0274662417088	94.1059103622113	92.2647710128264	82.1383403633676	91.5666883019601	87.201555688097	-0.0704689723431473
1520402A15Rik	1.84910137584096	1.34054003364973	1	1	1.59482070474535	1	-0.673394240344758
1600002H07Rik	31.3896233557393	29.0450340624109	21.3270750456236	15.1407079010816	30.2173287090751	18.2338914733526	-0.728753634207822
1600002K03Rik	7.93760590604901	6.70270016824867	7.139535852183	8.32738934559487	7.32015303714884	7.73346259888893	0.0792407042969612
1600010M07Rik	1	1	1	1.60870021448992	1	1.30435010724496	0.383331162661059
1600012F09Rik	61.561545805437	57.017636097902	81.6469997454773	84.1255582753846	59.2895909516695	82.886279010431	0.483354454458048
1600012H06Rik	13.8457103020287	15.148102380242	36.0638093046167	27.5371624950921	14.4969063411353	31.8004858998544	1.13330374946525
1600014C10Rik	6.53950486577902	6.65801550046034	4.11896299164404	5.10998891661504	6.59876018311968	4.61447595412954	-0.516028170643627
1600014K23Rik	1	1.29585536586141	2.10524775128473	1.32481194134464	1.1479276829307	1.71502984631468	0.579201925470894
1600016N20Rik	1.03730077181322	1	1.00685762017965	1	1.01865038590661	1.00342881008983	-0.0217207187534164
1600020E01Rik	4.0590030201387	3.93225076537255	4.94275558997284	7.47572452615904	3.99562689275563	6.20924005806594	0.635994837276518
1600021P15Rik	10.0573074832326	9.33909556775981	7.87179593958638	8.70590704312191	9.69820152549618	8.28885149135415	-0.22654501797572
1600027N09Rik	14.477110771828	12.5563916485192	6.31574325385419	5.6777654629056	13.5167512101736	5.99675435837989	-1.17249465456993
1600029D21Rik	7.66700570470644	8.66882555093495	10.2516412236474	8.98979531626719	8.16791562782069	9.62071826995729	0.236176644023339
1600029O15Rik	1	1	1	1.23018251696288	1	1.11509125848144	0.157161784379703
1700001C19Rik	1.48830110738419	1.20648603028476	1.09839013110508	2.93351215583456	1.34739356883448	2.01595114346982	0.581289357169088
1700001L05Rik	9.06510674497643	11.7520676283293	7.78026342866096	5.01535949223328	10.4085871866529	6.39781146044712	-0.702123874332305
1700001L19Rik	2.07460154362645	2.45765672835785	3.29517039331523	4.54221237032448	2.26612913599215	3.91869138181985	0.790141881487421
1700001P01Rik	1	1.29585536586141	1.73911770758304	3.02814158021632	1.1479276829307	2.38362964389968	1.05412833661256
1700003M07Rik	2.39030177852612	2.90450340624109	2.83750783868811	2.27110618516224	2.64740259238361	2.55430701192518	-0.051645664676184
1700007J10Rik	17.7694132214961	17.1589124307166	77.3449717319825	95.2918303524323	17.4641628261063	86.3184010422074	2.3052706542745
1700007K13Rik	22.0088163758632	21.8061178807023	30.5718586490913	27.2532742219469	21.9074671282828	28.9125664355191	0.400273981746359
1700007L15Rik	3.29230244966806	2.77044940287612	4.85122307904742	4.82610064346976	3.03137592627209	4.83866186125859	0.674635348944914
1700007P06Rik	1	1	1.92218272943388	2.64962388268928	1	2.28590330606158	1.19276437869857
1700008I05Rik	12.2672091275303	12.7798149874608	23.4323227969083	23.5627266710582	12.5235120574955	23.4975247339833	0.907869584806147
1700008J07Rik	1.3079009731558	1.11711669470811	1.37298766388135	1.13555309258112	1.21250883393196	1.25427037823123	0.0488531195450597
1700008O03Rik	1	1	1.55605268573219	1	1	1.2780263428661	0.353917573632792
1700008P20Rik	1	1	2.74597532776269	2.46036503392576	1	2.60317018084422	1.38026963023396
1700009P17Rik	1.12750083892742	1.38522470143806	1.28145515295592	1	1.25636277018274	1.14072757647796	-0.139298802629369
1700011F14Rik	5.05120375839483	4.78125945335072	7.04800334125757	8.13813049683136	4.91623160587277	7.59306691904446	0.627129839631772
1700011J10Rik	2.6609019798687	2.41297206056952	20.8694124909964	28.1049390413827	2.53693702021911	24.4871757661896	3.27086678007333
1700012A16Rik	1.44320107382709	1.60864804037968	1.46452017480677	1.98721791201696	1.52592455710339	1.72586904341186	0.177639362967635
1700012B15Rik	3.47270258389644	3.8428814297959	3.02057286053896	4.06906524841568	3.65779200684617	3.54481905447732	-0.045261054520118
1700013H16Rik	1	1	9.70244615809484	10.5038661063754	1	10.1031561322351	3.33673414281888
1700014N06Rik	1	1.07243202691979	5.49195065552538	6.43480085795968	1.03621601345989	5.96337575674253	2.52480446094149
1700016D06Rik	1	1	1	1.13555309258112	1	1.06777654629056	0.0946097656697475
1700016H13Rik	1.3530010067129	1	1	1	1.17650050335645	1	-0.234501937808024
1700016K19Rik	2.43540181208322	1.47459403701471	2.56291030591184	1.79795906325344	1.95499792454896	2.18043468458264	0.15744869885864
1700017B05Rik	9.4710070469903	9.87531158121971	4.30202801349488	4.44758294594272	9.673159314105	4.3748054797188	-1.14476828912442
1700018B08Rik	1.3530010067129	1.20648603028476	1	1.60870021448992	1.27974351849883	1.30435010724496	0.027476463112991
1700018B24Rik	1.93930144295516	2.77044940287612	12.9060840404846	15.5192255986086	2.35487542291564	14.2126548195466	2.59345341874737
1700019A02Rik	1.17260087248451	1.69801737595633	3.47823541516607	7.57035395054079	1.43530912422042	5.52429468285343	1.94442879413591
1700019B21Rik	1	1	1.92218272943388	2.365735609544	1	2.14395916948894	1.10027743073191
1700019D03Rik	24.5344182550606	26.9001700085713	19.7710223598914	17.6957023593891	25.717294131816	18.7333623596402	-0.457128991094511
1700019E08Rik	1	1	2.01371524035931	2.17647676078048	1	2.09509600056989	1.06701635197853
1700019E19Rik	15.5595115771984	14.6118863667821	15.1028643026948	18.1688494812979	15.0856989719902	16.6358568919964	0.141114636510725
1700019G17Rik	2.6609019798687	3.39603475191266	3.93589796979319	2.74425330707104	3.02846836589068	3.34007563843211	0.141292432260996
1700019N12Rik	4.0590030201387	4.46846677883245	7.59719840681011	6.81331855548672	4.26373489948557	7.20525848114841	0.75693244613636
1700020I14Rik	18.8067139933093	21.8061178807023	27.4597532776269	32.9310396848525	20.3064159370058	30.1953964812397	0.572392988632333
1700020N01Rik	3.47270258389644	2.27891805720455	4.85122307904742	4.16369467279744	2.8758103205505	4.50745887592243	0.648345805936082
1700020O03Rik	12.2672091275303	10.7243202691979	6.04114572107792	7.28646567739552	11.4957646983641	6.66380569923672	-0.786684196469368
1700021C14Rik	3.96880295302451	4.78125945335072	7.9633284505118	10.1253484088483	4.37503120318761	9.04433842968006	1.04772167080223
1700021F05Rik	16.7321124496829	16.6226964172567	30.0226635835388	32.4578925629437	16.6774044334698	31.2402780732412	0.905512520874653
1700021K19Rik	12.8084095302155	13.5841390076506	7.32260087403384	7.66498337492255	13.196274268933	7.4937921244782	-0.816362804623362
1700022P22Rik	3.15700234899677	3.39603475191266	4.02743048071861	6.6240597067232	3.27651855045471	5.3257450937209	0.700819678684804
1700024G13Rik	1	1	1	1	1	1	0
1700025E21Rik	1	1	1.64758519665761	1.8925884876352	1	1.77008684214641	0.823820142037407
1700025G04Rik	4.87080362416644	6.07711481921213	25.8121680809693	26.4962388268928	5.47395922168928	26.154203453931	2.25638623982991
1700025K23Rik	4.51000335570967	3.57477342306596	6.49880827570503	9.84146013570303	4.04238838938781	8.17013420570403	1.01515183547531
1700025N23Rik	1	1	1	2.46036503392576	1	1.73018251696288	0.790924235797327
1700026D08Rik	1.21770090604161	1	1	1.13555309258112	1.10885045302081	1.06777654629056	-0.054455041458911
1700026L06Rik	1	1	1.73911770758304	1	1	1.36955885379152	0.453711264034358
1700027A23Rik	2.30010171141193	3.17261141297104	2.19678026221015	3.40665927774336	2.73635656219148	2.80171976997676	0.0340564300815971
1700028B04Rik	1.53340114094129	1.42990936922638	1	1	1.48165525508383	1	-0.567209806862105
1700028I16Rik	1.57850117449838	1	1.09839013110508	2.08184733639872	1.28925058724919	1.5901187337519	0.302601792514994
1700028K03Rik	1	1	1	1	1	1	0
1700028P14Rik	1	1	1.37298766388135	1	1	1.18649383194067	0.246704600614682
1700029F09Rik	119.018988557178	115.331127561665	306.816976622018	375.584185371205	117.175058059422	341.200580996612	1.5419545936181
1700029G01Rik	1.93930144295516	2.10017938605125	1	1	2.0197404145032	1	-1.01416988368291
1700029I01Rik	10.8691080872603	10.4562122624679	12.0822914421558	11.450160350193	10.6626601748641	11.7662258961744	0.142084225567773
1700029J07Rik	1	1	1.00685762017965	1	1	1.00342881008983	0.00493826595455941
1700029P11Rik	4.78060355705225	5.27279079902229	18.7641647397117	16.6547786911897	5.02669717803727	17.7094717154507	1.81683849136652
1700030C10Rik	5.32180395973741	5.00468279229234	13.7298766388135	16.6547786911897	5.16324337601487	15.1923276650016	1.55699341861348
1700030J22Rik	2.25500167785483	2.63639539951114	1.55605268573219	1.98721791201696	2.44569853868299	1.77163529887458	-0.465164938029823
1700030K09Rik	10.6887079530319	9.87531158121971	5.49195065552538	3.97443582403392	10.2820097671258	4.73319323977965	-1.11923655905144
1700030L20Rik	1	1	44.8509303534573	50.6267420442416	1	47.7388361988494	5.57709149099674
1700034F02Rik	1	1	1.73911770758304	1.98721791201696	1	1.8631678098	0.897757619241126
1700034H14Rik	14.7928110067277	15.1927870480303	24.2561153952371	27.2532742219469	14.992799027379	25.754694808592	0.780565697064349
1700034P13Rik	1	1	1.46452017480677	1.23018251696288	1	1.34735134588482	0.430126108313416
1700037C18Rik	1	1	1	1	1	1	0
1700037H04Rik	46.3628344966954	46.6954778387991	8.42099100513892	8.42201876997663	46.5291561677472	8.42150488755778	-2.46598505826495
1700040I03Rik	15.1987113087416	15.1034177124537	16.018189411949	11.9233074721018	15.1510645105976	13.9707484420254	-0.117009849719665
